#ReferenceName	ProteinName	StartCoding	EndCoding
PB2	PB2	1	2280
PB1	PB1	1	2274
PB1	PB1-F2	95	367
PA	PA	1	2151
PA	PA-X	1	570
PA	PA-X	572	760
HA	HA1-5	49	1035
HA	HA2-5	1036	1704
NP	NP	1	1497
NA	NA-1	1	1410
MP	M1	1	759
MP	M2	1	26
MP	M2	715	981
NS	NS-1	1	693
NS	NS-2	1	30
NS	NS-2	503	838
